dateTime,ActivityStartTime/TimeZoneCode,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,USGSPCode,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode
2001-05-29 11:06,PDT,"Chlorophyll a, corrected for pheophytin",,25.5,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-09-10 10:24,PDT,"Chlorophyll a, corrected for pheophytin",,40.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-10-04 12:52,PDT,"Chlorophyll a, corrected for pheophytin",,20.3,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-06-25 09:57,PDT,"Chlorophyll a, corrected for pheophytin",,54.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-10-08 10:15,PDT,"Chlorophyll a, corrected for pheophytin",,17,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-08-20 10:40,PDT,"Chlorophyll a, corrected for pheophytin",,46.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-09-04 10:48,PDT,"Chlorophyll a, corrected for pheophytin",,30,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-05-15 10:35,PDT,"Chlorophyll a, corrected for pheophytin",,27.4,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-08-13 10:20,PDT,"Chlorophyll a, corrected for pheophytin",,64.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-10-22 10:13,PDT,"Chlorophyll a, corrected for pheophytin",,11.2,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-05-21 10:26,PDT,"Chlorophyll a, corrected for pheophytin",,5.59,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-08-06 09:30,PDT,"Chlorophyll a, corrected for pheophytin",,35.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-06-18 10:24,PDT,"Chlorophyll a, corrected for pheophytin",,52.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-07-09 10:18,PDT,"Chlorophyll a, corrected for pheophytin",,41.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-09-06 11:50,PDT,"Chlorophyll a, corrected for pheophytin",,51.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-07-17 11:22,PDT,"Chlorophyll a, corrected for pheophytin",,20.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-09-13 13:00,PDT,"Chlorophyll a, corrected for pheophytin",,41.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-07-30 10:17,PDT,"Chlorophyll a, corrected for pheophytin",,40.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-05-07 09:45,PDT,"Chlorophyll a, corrected for pheophytin",,8.11,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-06-04 10:13,PDT,"Chlorophyll a, corrected for pheophytin",,36.4,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-09-20 10:54,PDT,"Chlorophyll a, corrected for pheophytin",,40.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-06-11 10:52,PDT,"Chlorophyll a, corrected for pheophytin",,26.4,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-09-17 10:17,PDT,"Chlorophyll a, corrected for pheophytin",,48.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-09-27 11:10,PDT,"Chlorophyll a, corrected for pheophytin",,30,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-07-02 09:35,PDT,"Chlorophyll a, corrected for pheophytin",,32.4,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-10-01 09:49,PDT,"Chlorophyll a, corrected for pheophytin",,19,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-10-11 10:08,PDT,"Chlorophyll a, corrected for pheophytin",,12.2,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-10-15 10:33,PDT,"Chlorophyll a, corrected for pheophytin",,7.99,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-08-27 11:07,PDT,"Chlorophyll a, corrected for pheophytin",,10.2,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-08-30 13:07,PDT,"Chlorophyll a, corrected for pheophytin",,24,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-07-23 10:51,PDT,"Chlorophyll a, corrected for pheophytin",,22.5,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-04-30 10:40,PDT,"Chlorophyll a, corrected for pheophytin",,16.6,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-09-24 09:56,PDT,"Chlorophyll a, corrected for pheophytin",,45.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-09-09 10:08,PDT,"Chlorophyll a, corrected for pheophytin",,14.1,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-06-03 10:08,PDT,"Chlorophyll a, corrected for pheophytin",,23.4,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-09-04 10:19,PDT,"Chlorophyll a, corrected for pheophytin",,13.2,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-09-16 10:47,PDT,"Chlorophyll a, corrected for pheophytin",,11.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-09-23 10:04,PDT,"Chlorophyll a, corrected for pheophytin",,8.29,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-07-15 10:31,PDT,"Chlorophyll a, corrected for pheophytin",,23.4,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-07-01 10:46,PDT,"Chlorophyll a, corrected for pheophytin",,12.4,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-10-07 10:43,PDT,"Chlorophyll a, corrected for pheophytin",,8.06,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-09-30 10:41,PDT,"Chlorophyll a, corrected for pheophytin",,13.4,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-07-22 10:58,PDT,"Chlorophyll a, corrected for pheophytin",,48.6,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-06-17 10:49,PDT,"Chlorophyll a, corrected for pheophytin",,34.6,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-05-28 11:05,PDT,"Chlorophyll a, corrected for pheophytin",,15.8,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-08-26 10:10,PDT,"Chlorophyll a, corrected for pheophytin",,4.34,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-07-29 09:57,PDT,"Chlorophyll a, corrected for pheophytin",,15.1,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-05-20 10:23,PDT,"Chlorophyll a, corrected for pheophytin",,11.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-06-10 11:11,PDT,"Chlorophyll a, corrected for pheophytin",,70.3,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-05-06 10:00,PDT,"Chlorophyll a, corrected for pheophytin",,13.7,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-10-28 10:34,PST,"Chlorophyll a, corrected for pheophytin",,7.24,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-05-13 09:53,PDT,"Chlorophyll a, corrected for pheophytin",,11.8,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-10-21 10:48,PDT,"Chlorophyll a, corrected for pheophytin",,6.72,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-08-12 10:30,PDT,"Chlorophyll a, corrected for pheophytin",,27.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-06-24 10:57,PDT,"Chlorophyll a, corrected for pheophytin",,24.4,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-10-14 11:14,PDT,"Chlorophyll a, corrected for pheophytin",,6,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-09-29 10:32,PDT,"Chlorophyll a, corrected for pheophytin",,7.65,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-08-12 10:45,PDT,"Chlorophyll a, corrected for pheophytin",,5.98,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-09-08 10:44,PDT,"Chlorophyll a, corrected for pheophytin",,17.7,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-07-14 10:41,PDT,"Chlorophyll a, corrected for pheophytin",,11,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-08-04 10:18,PDT,"Chlorophyll a, corrected for pheophytin",,5.57,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-06-16 10:09,PDT,"Chlorophyll a, corrected for pheophytin",,34.1,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-05-27 10:14,PDT,"Chlorophyll a, corrected for pheophytin",,14.6,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-07-21 10:06,PDT,"Chlorophyll a, corrected for pheophytin",,8.35,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-10-13 10:28,PDT,"Chlorophyll a, corrected for pheophytin",,2.64,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-10-27 10:22,PST,"Chlorophyll a, corrected for pheophytin",,1.39,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-06-30 11:13,PDT,"Chlorophyll a, corrected for pheophytin",,64,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-10-06 10:33,PDT,"Chlorophyll a, corrected for pheophytin",,7.37,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-08-25 10:52,PDT,"Chlorophyll a, corrected for pheophytin",,13,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-05-12 10:09,PDT,"Chlorophyll a, corrected for pheophytin",,3.34,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-10-20 09:52,PDT,"Chlorophyll a, corrected for pheophytin",,1.53,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-08-18 11:02,PDT,"Chlorophyll a, corrected for pheophytin",,8.17,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-09-22 10:15,PDT,"Chlorophyll a, corrected for pheophytin",,6.74,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-06-09 10:08,PDT,"Chlorophyll a, corrected for pheophytin",,23.7,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-09-15 10:37,PDT,"Chlorophyll a, corrected for pheophytin",,6.26,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-06-23 10:29,PDT,"Chlorophyll a, corrected for pheophytin",,9.5,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-07-07 10:12,PDT,"Chlorophyll a, corrected for pheophytin",,59.8,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-06-02 10:23,PDT,"Chlorophyll a, corrected for pheophytin",,17.4,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-05-19 09:32,PDT,"Chlorophyll a, corrected for pheophytin",,4.78,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-09-02 10:38,PDT,"Chlorophyll a, corrected for pheophytin",,11.8,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-05-05 09:45,PDT,"Chlorophyll a, corrected for pheophytin",,3.41,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-07-28 10:09,PDT,"Chlorophyll a, corrected for pheophytin",,9.27,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2004-08-16 10:16,PDT,"Chlorophyll a, corrected for pheophytin",,17.7,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2004-05-12 10:21,PDT,"Chlorophyll a, corrected for pheophytin",,9.19,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2004-09-07 11:29,PDT,"Chlorophyll a, corrected for pheophytin",,6.42,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2004-06-07 09:46,PDT,"Chlorophyll a, corrected for pheophytin",,20.4,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2004-10-11 09:51,PDT,"Chlorophyll a, corrected for pheophytin",,2.27,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2004-09-27 09:57,PDT,"Chlorophyll a, corrected for pheophytin",,5.54,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2004-05-19 10:08,PDT,"Chlorophyll a, corrected for pheophytin",,14.1,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2004-07-06 10:15,PDT,"Chlorophyll a, corrected for pheophytin",,42.8,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2004-06-02 10:56,PDT,"Chlorophyll a, corrected for pheophytin",,20.8,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2004-07-27 10:15,PDT,"Chlorophyll a, corrected for pheophytin",,8.27,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2004-08-25 10:35,PDT,"Chlorophyll a, corrected for pheophytin",,4.79,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2004-07-12 09:45,PDT,"Chlorophyll a, corrected for pheophytin",,26.7,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2004-08-09 09:54,PDT,"Chlorophyll a, corrected for pheophytin",,6.87,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2004-07-19 10:13,PDT,"Chlorophyll a, corrected for pheophytin",,23.6,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2004-05-26 10:28,PDT,"Chlorophyll a, corrected for pheophytin",,18.5,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2004-08-30 09:58,PDT,"Chlorophyll a, corrected for pheophytin",,3.62,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2004-06-21 10:41,PDT,"Chlorophyll a, corrected for pheophytin",,39.2,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2004-10-25 09:42,PDT,"Chlorophyll a, corrected for pheophytin",,2.45,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2004-06-28 10:24,PDT,"Chlorophyll a, corrected for pheophytin",,17.2,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2004-09-20 11:08,PDT,"Chlorophyll a, corrected for pheophytin",,5.11,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2004-10-04 10:11,PDT,"Chlorophyll a, corrected for pheophytin",,7.5,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2004-06-14 09:51,PDT,"Chlorophyll a, corrected for pheophytin",,9.39,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2004-05-03 10:10,PDT,"Chlorophyll a, corrected for pheophytin",,10.2,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2004-09-13 10:00,PDT,"Chlorophyll a, corrected for pheophytin",,14.3,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2004-10-18 10:02,PDT,"Chlorophyll a, corrected for pheophytin",,1.78,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2004-08-02 10:10,PDT,"Chlorophyll a, corrected for pheophytin",,9.74,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2005-08-01 11:18,PDT,"Chlorophyll a, corrected for pheophytin",,14.4,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2005-08-08 10:18,PDT,"Chlorophyll a, corrected for pheophytin",,6.72,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2005-06-27 10:47,PDT,"Chlorophyll a, corrected for pheophytin",,14.7,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2005-09-06 10:30,PDT,"Chlorophyll a, corrected for pheophytin",,4.71,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2005-08-15 10:23,PDT,"Chlorophyll a, corrected for pheophytin",,7.24,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2005-09-12 09:59,PDT,"Chlorophyll a, corrected for pheophytin",,6.35,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2005-07-25 09:52,PDT,"Chlorophyll a, corrected for pheophytin",,13.3,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2005-08-29 10:06,PDT,"Chlorophyll a, corrected for pheophytin",,6.69,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2005-07-11 10:08,PDT,"Chlorophyll a, corrected for pheophytin",,18.2,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2005-07-05 11:30,PDT,"Chlorophyll a, corrected for pheophytin",,11.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2005-06-13 09:40,PDT,"Chlorophyll a, corrected for pheophytin",,6.11,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2005-05-23 09:53,PDT,"Chlorophyll a, corrected for pheophytin",,2.08,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2005-09-19 10:04,PDT,"Chlorophyll a, corrected for pheophytin",,4.73,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2005-05-09 10:11,PDT,"Chlorophyll a, corrected for pheophytin",,5.95,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2005-10-24 10:31,PDT,"Chlorophyll a, corrected for pheophytin",,1.07,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2005-10-17 10:07,PDT,"Chlorophyll a, corrected for pheophytin",,1.57,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2005-06-06 11:10,PDT,"Chlorophyll a, corrected for pheophytin",,6.86,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2005-10-10 10:02,PDT,"Chlorophyll a, corrected for pheophytin",,0.51,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2005-05-16 09:54,PDT,"Chlorophyll a, corrected for pheophytin",,2.53,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2005-08-22 10:25,PDT,"Chlorophyll a, corrected for pheophytin",,5.63,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2005-09-26 09:59,PDT,"Chlorophyll a, corrected for pheophytin",,4.18,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2005-05-02 11:22,PDT,"Chlorophyll a, corrected for pheophytin",,6.02,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2005-07-18 10:00,PDT,"Chlorophyll a, corrected for pheophytin",,19.4,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2005-10-03 10:38,PDT,"Chlorophyll a, corrected for pheophytin",,2.58,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2005-05-31 12:21,PDT,"Chlorophyll a, corrected for pheophytin",,6.19,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2006-10-23 10:19,PDT,"Chlorophyll a, corrected for pheophytin",,1.74,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2006-05-22 11:37,PDT,"Chlorophyll a, corrected for pheophytin",,11,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2006-09-18 10:44,PDT,"Chlorophyll a, corrected for pheophytin",,3.64,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2006-07-03 10:07,PDT,"Chlorophyll a, corrected for pheophytin",,75.8,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2006-07-31 10:29,PDT,"Chlorophyll a, corrected for pheophytin",,5.39,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2006-08-14 10:14,PDT,"Chlorophyll a, corrected for pheophytin",,7,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2006-10-02 10:39,PDT,"Chlorophyll a, corrected for pheophytin",,4.29,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2006-06-19 10:18,PDT,"Chlorophyll a, corrected for pheophytin",,10,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2006-07-10 10:55,PDT,"Chlorophyll a, corrected for pheophytin",,20,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2006-06-05 10:15,PDT,"Chlorophyll a, corrected for pheophytin",,6.83,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2006-10-09 10:05,PDT,"Chlorophyll a, corrected for pheophytin",,3.79,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2006-06-26 10:38,PDT,"Chlorophyll a, corrected for pheophytin",,25.1,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2006-09-11 10:05,PDT,"Chlorophyll a, corrected for pheophytin",,6.61,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2006-06-12 11:13,PDT,"Chlorophyll a, corrected for pheophytin",,10.3,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2006-07-24 10:35,PDT,"Chlorophyll a, corrected for pheophytin",,31.6,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2006-05-30 10:23,PDT,"Chlorophyll a, corrected for pheophytin",,4.52,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2006-08-07 10:33,PDT,"Chlorophyll a, corrected for pheophytin",,9.02,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2006-10-16 09:52,PDT,"Chlorophyll a, corrected for pheophytin",,2.95,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2006-08-28 10:15,PDT,"Chlorophyll a, corrected for pheophytin",,8.53,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2006-05-15 09:57,PDT,"Chlorophyll a, corrected for pheophytin",,13.4,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2006-09-25 10:25,PDT,"Chlorophyll a, corrected for pheophytin",,2.19,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2006-05-08 10:40,PDT,"Chlorophyll a, corrected for pheophytin",,6.89,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2006-09-05 10:33,PDT,"Chlorophyll a, corrected for pheophytin",,8.61,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2006-08-21 11:04,PDT,"Chlorophyll a, corrected for pheophytin",,10.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2006-07-17 10:17,PDT,"Chlorophyll a, corrected for pheophytin",,13.4,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2006-05-01 10:35,PDT,"Chlorophyll a, corrected for pheophytin",,4.47,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2007-10-15 11:08,PDT,"Chlorophyll a, corrected for pheophytin",,1.55,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2007-06-11 12:09,PDT,"Chlorophyll a, corrected for pheophytin",,7.73,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2007-06-18 12:53,PDT,"Chlorophyll a, corrected for pheophytin",,9.5,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2007-07-09 09:41,PDT,"Chlorophyll a, corrected for pheophytin",,40.2,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2007-05-21 10:57,PDT,"Chlorophyll a, corrected for pheophytin",,7.44,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2007-09-17 09:52,PDT,"Chlorophyll a, corrected for pheophytin",,2.73,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2007-06-25 13:30,PDT,"Chlorophyll a, corrected for pheophytin",,21.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2007-07-23 09:56,PDT,"Chlorophyll a, corrected for pheophytin",,6.34,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2007-10-08 10:12,PDT,"Chlorophyll a, corrected for pheophytin",,1.17,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2007-10-29 10:01,PDT,"Chlorophyll a, corrected for pheophytin",,0.58,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2007-07-02 11:09,PDT,"Chlorophyll a, corrected for pheophytin",,9.48,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2007-05-14 10:08,PDT,"Chlorophyll a, corrected for pheophytin",,6.92,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2007-09-24 09:47,PDT,"Chlorophyll a, corrected for pheophytin",,2.79,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2007-08-06 10:09,PDT,"Chlorophyll a, corrected for pheophytin",,6.26,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2007-06-04 09:59,PDT,"Chlorophyll a, corrected for pheophytin",,11.8,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2007-09-10 10:50,PDT,"Chlorophyll a, corrected for pheophytin",,4.69,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2007-09-04 10:12,PDT,"Chlorophyll a, corrected for pheophytin",,5.39,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2007-07-30 10:03,PDT,"Chlorophyll a, corrected for pheophytin",,7.43,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2007-08-20 10:01,PDT,"Chlorophyll a, corrected for pheophytin",,5.42,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2007-10-01 09:54,PDT,"Chlorophyll a, corrected for pheophytin",,2.26,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2007-07-16 12:30,PDT,"Chlorophyll a, corrected for pheophytin",,49.3,ug/l,32209,Lower Reporting Limit,0.2,ug/l
