dateTime,ActivityStartTime/TimeZoneCode,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodName,LaboratoryName,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode
2003-06-23 12:30,PDT,Chlorophyll a,,5.8,ug/l,,,"Aquatic Analysts, Inc, Milwaukie, OR",,,
2004-09-14 10:00,PDT,Chlorophyll a,,4.5,ug/l,FL008,"Chlorophyll a,phyto,fluorometric","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2004-07-27 09:40,PDT,Chlorophyll a,,3.6,ug/l,FL008,"Chlorophyll a,phyto,fluorometric","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2004-11-19 09:30,PST,Chlorophyll a,,0.7,ug/l,FL008,"Chlorophyll a,phyto,fluorometric","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2004-08-16 11:50,PDT,Chlorophyll a,,4,ug/l,FL008,"Chlorophyll a,phyto,fluorometric","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2004-10-19 13:20,PDT,Chlorophyll a,,0.8,ug/l,FL008,"Chlorophyll a,phyto,fluorometric","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2004-05-25 12:00,PDT,Chlorophyll a,,1.8,ug/l,FL008,"Chlorophyll a,phyto,fluorometric","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2004-12-16 11:20,PST,Chlorophyll a,,1,ug/l,FL008,"Chlorophyll a,phyto,fluorometric","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2004-06-24 11:30,PDT,Chlorophyll a,,2.2,ug/l,FL008,"Chlorophyll a,phyto,fluorometric","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2005-03-17 10:50,PST,Chlorophyll a,,4.2,ug/l,FL008,"Chlorophyll a,phyto,fluorometric","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2005-04-14 13:30,PDT,Chlorophyll a,,1.1,ug/l,FL008,"Chlorophyll a,phyto,fluorometric","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2005-01-18 13:30,PST,Chlorophyll a,,0.9,ug/l,FL008,"Chlorophyll a,phyto,fluorometric","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2005-02-17 10:50,PST,Chlorophyll a,,1.5,ug/l,FL008,"Chlorophyll a,phyto,fluorometric","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2013-05-07 10:30,PDT,Chlorophyll a,,2.9,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2013-05-20 11:00,PDT,Chlorophyll a,,3.1,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2013-10-23 11:16,PDT,Chlorophyll a,,0.9,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2013-06-12 10:21,PDT,Chlorophyll a,,3.3,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2013-06-12 10:20,PDT,Chlorophyll a,,2.9,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2013-07-09 10:30,PDT,Chlorophyll a,,9.4,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2013-07-22 10:51,PDT,Chlorophyll a,,4.6,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2013-07-22 10:49,PDT,Chlorophyll a,,4.7,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2013-05-07 10:31,PDT,Chlorophyll a,,2.7,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2013-05-20 11:01,PDT,Chlorophyll a,,3,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2013-07-09 10:31,PDT,Chlorophyll a,,11.2,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2013-10-23 11:17,PDT,Chlorophyll a,,0.9,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2014-07-23 10:41,PDT,Chlorophyll a,,8.9,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2014-07-23 10:42,PDT,Chlorophyll a,,8.6,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2014-08-06 10:33,PDT,Chlorophyll a,,12.1,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2014-09-23 11:07,PDT,Chlorophyll a,,4.3,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2014-02-13 11:01,PST,Chlorophyll a,,6,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2014-03-12 12:01,PDT,Chlorophyll a,,1,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2014-08-06 10:30,PDT,Chlorophyll a,,15.5,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2014-08-06 10:34,PDT,Chlorophyll a,,12.8,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2014-04-23 12:27,PDT,Chlorophyll a,,3.4,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2014-02-13 11:00,PST,Chlorophyll a,,6.2,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2014-08-20 10:32,PDT,Chlorophyll a,,3.8,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2014-04-23 12:25,PDT,Chlorophyll a,,3.7,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2014-07-09 10:41,PDT,Chlorophyll a,,6,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2014-06-18 12:17,PDT,Chlorophyll a,,2.8,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2014-08-06 10:32,PDT,Chlorophyll a,,14.3,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2014-07-23 10:39,PDT,Chlorophyll a,,8.7,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2014-09-23 11:06,PDT,Chlorophyll a,,4.8,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2014-08-06 10:35,PDT,Chlorophyll a,,13,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2014-11-05 11:10,PST,Chlorophyll a,,1.2,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2014-11-05 11:09,PST,Chlorophyll a,,1,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2014-03-12 12:00,PDT,Chlorophyll a,,1,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2014-04-23 12:26,PDT,Chlorophyll a,,3.4,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2014-09-17 12:00,PDT,Chlorophyll a,,7.2,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2014-09-17 12:01,PDT,Chlorophyll a,,7.1,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2014-08-20 10:31,PDT,Chlorophyll a,,4.1,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2014-08-06 10:31,PDT,Chlorophyll a,,15.5,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2014-07-09 10:40,PDT,Chlorophyll a,,7.8,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2014-06-18 12:16,PDT,Chlorophyll a,,2.6,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2014-08-20 10:30,PDT,Chlorophyll a,,3.9,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2014-06-18 12:15,PDT,Chlorophyll a,,2.2,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2015-08-03 13:35,PDT,Chlorophyll a,,19,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2015-08-03 13:30,PDT,Chlorophyll a,,15.3,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2015-11-04 10:26,PST,Chlorophyll a,,1,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2015-07-09 11:21,PDT,Chlorophyll a,,8.4,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2015-07-09 11:22,PDT,Chlorophyll a,,8.4,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2015-11-04 10:25,PST,Chlorophyll a,,1,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2015-08-03 13:36,PDT,Chlorophyll a,,13.3,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2015-06-15 10:41,PDT,Chlorophyll a,,8.8,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2015-07-09 11:20,PDT,Chlorophyll a,,8.5,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2015-07-09 14:11,PDT,Chlorophyll a,,12.8,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2015-08-03 13:31,PDT,Chlorophyll a,,16.1,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2015-07-09 14:10,PDT,Chlorophyll a,,14.4,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2015-07-09 14:12,PDT,Chlorophyll a,,12.9,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2015-06-15 10:40,PDT,Chlorophyll a,,11.3,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2017-08-09 12:10,PDT,Chlorophyll a,,4.1,ug/l,00050,"Plant pigments, sonication & 445","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2017-08-14 16:30,PDT,Chlorophyll a,,3.3,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2017-09-05 12:00,PDT,Chlorophyll a,,3.6,ug/l,00050,"Plant pigments, sonication & 445","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2017-06-21 18:31,PDT,Chlorophyll a,,2.8,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2017-08-14 16:31,PDT,Chlorophyll a,,3.4,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2017-06-21 11:00,PDT,Chlorophyll a,,3,ug/l,00050,"Plant pigments, sonication & 445","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2017-06-21 18:30,PDT,Chlorophyll a,,2.9,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2017-07-25 12:40,PDT,Chlorophyll a,,6.2,ug/l,00050,"Plant pigments, sonication & 445","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2017-07-11 11:50,PDT,Chlorophyll a,,6.1,ug/l,00050,"Plant pigments, sonication & 445","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2018-09-05 11:20,PDT,Chlorophyll a,,9.6,ug/l,00050,"Plant pigments, sonication & 445","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2018-08-01 11:50,PDT,Chlorophyll a,,6.9,ug/l,00050,"Plant pigments, sonication & 445","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2018-12-04 13:10,PST,Chlorophyll a,,0.7,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2018-10-23 12:10,PDT,Chlorophyll a,,1.4,ug/l,00050,"Plant pigments, sonication & 445","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2018-12-04 13:12,PST,Chlorophyll a,,0.6,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2018-07-18 14:47,PDT,Chlorophyll a,,9.8,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2018-07-18 14:46,PDT,Chlorophyll a,,10,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2018-08-07 11:10,PDT,Chlorophyll a,,6.4,ug/l,00050,"Plant pigments, sonication & 445","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2018-12-04 13:11,PST,Chlorophyll a,,0.7,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2018-06-05 12:40,PDT,Chlorophyll a,,4.1,ug/l,00050,"Plant pigments, sonication & 445","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2018-07-10 11:30,PDT,Chlorophyll a,,4.9,ug/l,00050,"Plant pigments, sonication & 445","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2018-07-18 14:45,PDT,Chlorophyll a,,9.3,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2019-05-31 10:41,PDT,Chlorophyll a,,3.3,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2019-08-06 11:22,PDT,Chlorophyll a,,6.2,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2019-08-20 12:30,PDT,Chlorophyll a,,4.9,ug/l,00050,"Plant pigments, sonication & 445","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2019-08-06 11:21,PDT,Chlorophyll a,,6.2,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2019-07-23 11:21,PDT,Chlorophyll a,,9.9,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2019-09-10 12:21,PDT,Chlorophyll a,,3.7,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2019-05-31 10:40,PDT,Chlorophyll a,,3.3,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2019-06-11 11:50,PDT,Chlorophyll a,,6.9,ug/l,00050,"Plant pigments, sonication & 445","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2019-07-23 11:22,PDT,Chlorophyll a,,9.5,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2019-08-15 11:01,PDT,Chlorophyll a,,4.4,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2019-07-03 11:16,PDT,Chlorophyll a,,4,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2019-12-27 11:45,PST,Chlorophyll a,,1.3,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2019-07-03 11:15,PDT,Chlorophyll a,,3.9,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2019-07-23 11:20,PDT,Chlorophyll a,,8.2,ug/l,00050,"Plant pigments, sonication & 445","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2019-12-27 11:46,PST,Chlorophyll a,,1.3,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2019-07-08 12:22,PDT,Chlorophyll a,,5.1,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2019-07-08 12:20,PDT,Chlorophyll a,,5.4,ug/l,00050,"Plant pigments, sonication & 445","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2019-04-24 11:30,PDT,Chlorophyll a,,0.8,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2019-07-08 12:21,PDT,Chlorophyll a,,5.2,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2019-09-10 12:20,PDT,Chlorophyll a,,2.8,ug/l,00050,"Plant pigments, sonication & 445","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2019-08-20 12:32,PDT,Chlorophyll a,,5.9,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2019-02-08 13:00,PST,Chlorophyll a,,1.5,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2019-10-08 11:30,PDT,Chlorophyll a,,1.4,ug/l,00050,"Plant pigments, sonication & 445","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2019-08-06 11:20,PDT,Chlorophyll a,,12.1,ug/l,00050,"Plant pigments, sonication & 445","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2019-04-24 11:31,PDT,Chlorophyll a,,0.9,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2019-02-08 13:02,PST,Chlorophyll a,,1.2,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2019-08-15 11:00,PDT,Chlorophyll a,,4.5,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2019-08-20 12:31,PDT,Chlorophyll a,,6,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2019-09-10 12:22,PDT,Chlorophyll a,,3.3,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2019-02-08 13:01,PST,Chlorophyll a,,1.3,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2020-07-15 10:31,PDT,Chlorophyll a,,4.5,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2020-02-11 09:30,PST,Chlorophyll a,,0.6,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2020-10-18 11:19,PDT,Chlorophyll a,,1.5,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2020-02-11 09:31,PST,Chlorophyll a,,0.6,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2020-12-07 13:45,PST,Chlorophyll a,,0.7,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2020-08-24 10:56,PDT,Chlorophyll a,,4.9,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2020-08-24 10:55,PDT,Chlorophyll a,,5,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2020-12-07 13:46,PST,Chlorophyll a,,0.7,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2020-10-08 11:18,PDT,Chlorophyll a,,1.4,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2020-07-15 10:30,PDT,Chlorophyll a,,4.5,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2021-11-17 09:31,PST,Chlorophyll a,,0.6,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2021-01-26 10:30,PST,Chlorophyll a,,0.5,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2021-09-09 11:41,PDT,Chlorophyll a,,5.2,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2021-05-19 12:11,PDT,Chlorophyll a,,5.4,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2021-01-26 10:31,PST,Chlorophyll a,,0.5,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2021-05-19 12:10,PDT,Chlorophyll a,,5.3,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2021-04-14 12:00,PDT,Chlorophyll a,,3.7,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2021-09-09 11:40,PDT,Chlorophyll a,,5,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2021-04-14 12:01,PDT,Chlorophyll a,,3.4,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2021-07-29 11:20,PDT,Chlorophyll a,,6.1,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2021-11-17 09:30,PST,Chlorophyll a,,0.7,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2021-07-29 11:21,PDT,Chlorophyll a,,5.8,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
